,Average
1972-05-22,5.42878787878788
1972-05-29,5.42878787878788
1972-06-05,5.53283582089552
1972-06-12,5.53283582089552
1972-06-19,5.53283582089552
1972-06-26,5.53283582089552
1972-07-03,5.48947368421053
1972-07-10,5.48947368421053
1972-07-17,5.48947368421053
1972-07-24,5.48947368421053
1972-07-31,5.48947368421053
1972-08-07,5.54328358208955
1972-08-14,5.54328358208955
1972-08-21,5.54328358208955
1972-08-28,5.54328358208955
1972-09-04,5.48208955223881
1972-09-11,5.48208955223881
1972-09-18,5.48208955223881
1972-09-25,5.48208955223881
1972-10-02,5.65294117647059
1972-10-09,5.65294117647059
1972-10-16,5.65294117647059
1972-10-23,5.65294117647059
1972-10-30,5.65294117647059
1972-11-06,5.4206106870229
1972-11-13,5.4206106870229
1972-11-20,5.4206106870229
1972-11-27,5.4206106870229
1972-12-04,5.38153846153846
1972-12-11,5.38153846153846
1972-12-18,5.38153846153846
1972-12-25,5.38153846153846
1973-01-01,5.11463414634146
1973-01-08,5.11463414634146
1973-01-15,5.11463414634146
1973-01-22,5.11463414634146
1973-01-29,5.11463414634146
1973-02-05,5.06198347107438
1973-02-12,5.06198347107438
1973-02-19,5.06198347107438
1973-02-26,5.06198347107438
1973-03-05,4.85555555555556
1973-03-12,4.85555555555556
1973-03-19,4.85555555555556
1973-03-26,4.85555555555556
1973-04-02,4.82542372881356
1973-04-09,4.82542372881356
1973-04-16,4.82542372881356
1973-04-23,4.82542372881356
1973-04-30,4.82542372881356
1973-05-07,4.66034482758621
1973-05-14,4.66034482758621
1973-05-21,4.66034482758621
1973-05-28,4.66034482758621
1973-06-04,4.71196581196581
1973-06-11,4.71196581196581
1973-06-18,4.71196581196581
1973-06-25,4.71196581196581
1973-07-02,4.63333333333333
1973-07-09,4.63333333333333
1973-07-16,4.63333333333333
1973-07-23,4.63333333333333
1973-07-30,4.63333333333333
1973-08-06,4.65221238938053
1973-08-13,4.65221238938053
1973-08-20,4.65221238938053
1973-08-27,4.65221238938053
1973-09-03,4.79401709401709
1973-09-10,4.79401709401709
1973-09-17,4.79401709401709
1973-09-24,4.79401709401709
1973-10-01,4.81228070175439
1973-10-08,4.81228070175439
1973-10-15,4.81228070175439
1973-10-22,4.81228070175439
1973-10-29,4.81228070175439
1973-11-05,4.75913043478261
1973-11-12,4.75913043478261
1973-11-19,4.75913043478261
1973-11-26,4.75913043478261
1973-12-03,4.77017543859649
1973-12-10,4.77017543859649
1973-12-17,4.77017543859649
1973-12-24,4.77017543859649
1973-12-31,4.77017543859649
1974-01-07,4.78793103448276
1974-01-14,4.78793103448276
1974-01-21,4.78793103448276
1974-01-28,4.78793103448276
1974-02-04,4.76666666666667
1974-02-11,4.76666666666667
1974-02-18,4.76666666666667
1974-02-25,4.76666666666667
1974-03-04,4.7017094017094
1974-03-11,4.7017094017094
1974-03-18,4.7017094017094
1974-03-25,4.7017094017094
1974-04-01,4.71896551724138
1974-04-08,4.71896551724138
1974-04-15,4.71896551724138
1974-04-22,4.71896551724138
1974-04-29,4.71896551724138
1974-05-06,4.81864406779661
1974-05-13,4.81864406779661
1974-05-20,4.81864406779661
1974-05-27,4.81864406779661
1974-06-03,4.77350427350427
1974-06-10,4.77350427350427
1974-06-17,4.77350427350427
1974-06-24,4.77350427350427
1974-07-01,4.86974789915966
1974-07-08,4.86974789915966
1974-07-15,4.86974789915966
1974-07-22,4.86974789915966
1974-07-29,4.86974789915966
1974-08-05,4.9260162601626
1974-08-12,4.9260162601626
1974-08-19,4.9260162601626
1974-08-26,4.9260162601626
1974-09-02,5.19133858267717
1974-09-09,5.19133858267717
1974-09-16,5.19133858267717
1974-09-23,5.19133858267717
1974-09-30,5.19133858267717
1974-10-07,5.20923076923077
1974-10-14,5.20923076923077
1974-10-21,5.20923076923077
1974-10-28,5.20923076923077
1974-11-04,5.63284671532847
1974-11-11,5.63284671532847
1974-11-18,5.63284671532847
1974-11-25,5.63284671532847
1974-12-02,6.08926174496644
1974-12-09,6.08926174496644
1974-12-16,6.08926174496644
1974-12-23,6.08926174496644
1974-12-30,6.08926174496644
1975-01-06,6.95269461077844
1975-01-13,6.95269461077844
1975-01-20,6.95269461077844
1975-01-27,6.95269461077844
1975-02-03,6.81272727272727
1975-02-10,6.81272727272727
1975-02-17,6.81272727272727
1975-02-24,6.81272727272727
1975-03-03,7.1035294117647
1975-03-10,7.1035294117647
1975-03-17,7.1035294117647
1975-03-24,7.1035294117647
1975-03-31,7.1035294117647
1975-04-07,7.18888888888889
1975-04-14,7.18888888888889
1975-04-21,7.18888888888889
1975-04-28,7.18888888888889
1975-05-05,7.48539325842697
1975-05-12,7.48539325842697
1975-05-19,7.48539325842697
1975-05-26,7.48539325842697
1975-06-02,7.36818181818182
1975-06-09,7.36818181818182
1975-06-16,7.36818181818182
1975-06-23,7.36818181818182
1975-06-30,7.36818181818182
1975-07-07,7.21445086705202
1975-07-14,7.21445086705202
1975-07-21,7.21445086705202
1975-07-28,7.21445086705202
1975-08-04,7.15977011494253
1975-08-11,7.15977011494253
1975-08-18,7.15977011494253
1975-08-25,7.15977011494253
1975-09-01,7.06184971098266
1975-09-08,7.06184971098266
1975-09-15,7.06184971098266
1975-09-22,7.06184971098266
1975-09-29,7.06184971098266
1975-10-06,7.16440677966102
1975-10-13,7.16440677966102
1975-10-20,7.16440677966102
1975-10-27,7.16440677966102
1975-11-03,7.11022727272727
1975-11-10,7.11022727272727
1975-11-17,7.11022727272727
1975-11-24,7.11022727272727
1975-12-01,6.97398843930636
1975-12-08,6.97398843930636
1975-12-15,6.97398843930636
1975-12-22,6.97398843930636
1975-12-29,6.97398843930636
1976-01-05,6.85555555555555
1976-01-12,6.85555555555555
1976-01-19,6.85555555555555
1976-01-26,6.85555555555555
1976-02-02,6.72395209580838
1976-02-09,6.72395209580838
1976-02-16,6.72395209580838
1976-02-23,6.72395209580838
1976-03-01,6.54294478527607
1976-03-08,6.54294478527607
1976-03-15,6.54294478527607
1976-03-22,6.54294478527607
1976-03-29,6.54294478527607
1976-04-05,6.62289156626506
1976-04-12,6.62289156626506
1976-04-19,6.62289156626506
1976-04-26,6.62289156626506
1976-05-03,6.5109756097561
1976-05-10,6.5109756097561
1976-05-17,6.5109756097561
1976-05-24,6.5109756097561
1976-05-31,6.5109756097561
1976-06-07,6.62848484848485
1976-06-14,6.62848484848485
1976-06-21,6.62848484848485
1976-06-28,6.62848484848485
1976-07-05,6.95348837209302
1976-07-12,6.95348837209302
1976-07-19,6.95348837209302
1976-07-26,6.95348837209302
1976-08-02,6.81952662721894
1976-08-09,6.81952662721894
1976-08-16,6.81952662721894
1976-08-23,6.81952662721894
1976-08-30,6.81952662721894
1976-09-06,6.6722891566265
1976-09-13,6.6722891566265
1976-09-20,6.6722891566265
1976-09-27,6.6722891566265
1976-10-04,6.90350877192982
1976-10-11,6.90350877192982
1976-10-18,6.90350877192982
1976-10-25,6.90350877192982
1976-11-01,6.95348837209302
1976-11-08,6.95348837209302
1976-11-15,6.95348837209302
1976-11-22,6.95348837209302
1976-11-29,6.95348837209302
1976-12-06,7.03684210526316
1976-12-13,7.03684210526316
1976-12-20,7.03684210526316
1976-12-27,7.03684210526316
1977-01-03,6.91882352941176
1977-01-10,6.91882352941176
1977-01-17,6.91882352941176
1977-01-24,6.91882352941176
1977-01-31,6.91882352941176
1977-02-07,7.09542857142857
1977-02-14,7.09542857142857
1977-02-21,7.09542857142857
1977-02-28,7.09542857142857
1977-03-07,6.95348837209302
1977-03-14,6.95348837209302
1977-03-21,6.95348837209302
1977-03-28,6.95348837209302
1977-04-04,6.93294117647059
1977-04-11,6.93294117647059
1977-04-18,6.93294117647059
1977-04-25,6.93294117647059
1977-05-02,6.7603550295858
1977-05-09,6.7603550295858
1977-05-16,6.7603550295858
1977-05-23,6.7603550295858
1977-05-30,6.7603550295858
1977-06-06,6.84736842105263
1977-06-13,6.84736842105263
1977-06-20,6.84736842105263
1977-06-27,6.84736842105263
1977-07-04,6.87894736842105
1977-07-11,6.87894736842105
1977-07-18,6.87894736842105
1977-07-25,6.87894736842105
1977-08-01,6.9906976744186
1977-08-08,6.9906976744186
1977-08-15,6.9906976744186
1977-08-22,6.9906976744186
1977-08-29,6.9906976744186
1977-09-05,6.96666666666667
1977-09-12,6.96666666666667
1977-09-19,6.96666666666667
1977-09-26,6.96666666666667
1977-10-03,7.04152046783626
1977-10-10,7.04152046783626
1977-10-17,7.04152046783626
1977-10-24,7.04152046783626
1977-10-31,7.04152046783626
1977-11-07,7.08034682080925
1977-11-14,7.08034682080925
1977-11-21,7.08034682080925
1977-11-28,7.08034682080925
1977-12-05,6.91882352941176
1977-12-12,6.91882352941176
1977-12-19,6.91882352941176
1977-12-26,6.91882352941176
1978-01-02,6.80119047619048
1978-01-09,6.80119047619048
1978-01-16,6.80119047619048
1978-01-23,6.80119047619048
1978-01-30,6.80119047619048
1978-02-06,6.75119047619048
1978-02-13,6.75119047619048
1978-02-20,6.75119047619048
1978-02-27,6.75119047619048
1978-03-06,6.86941176470588
1978-03-13,6.86941176470588
1978-03-20,6.86941176470588
1978-03-27,6.86941176470588
1978-04-03,6.74311377245509
1978-04-10,6.74311377245509
1978-04-17,6.74311377245509
1978-04-24,6.74311377245509
1978-05-01,6.81952662721894
