,0,1,2,3,4,5,6,7,8,9
2008-04-13 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-27 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-04 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-05 00:00:00+00:00,0.016669258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-11 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-12 00:00:00+00:00,0.014288135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-18 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-25 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-26 00:00:00+00:00,0.014286708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-02 00:00:00+00:00,0.011113934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-08 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-09 00:00:00+00:00,0.046797586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-15 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-22 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-23 00:00:00+00:00,0.016668214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-29 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-30 00:00:00+00:00,0.020002713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-06 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-13 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-14 00:00:00+00:00,0.020002099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-27 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-03 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-04 00:00:00+00:00,0.020002432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-10 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-17 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-24 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-25 00:00:00+00:00,0.014287211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-31 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-07 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-08 00:00:00+00:00,0.014287437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-28 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-05 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-12 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-13 00:00:00+00:00,0.034297324000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-19 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-20 00:00:00+00:00,0.026790059999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-26 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-02 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-09 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-16 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-23 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-30 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-01 00:00:00+00:00,0.036672781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-07 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-15 00:00:00+00:00,0.016674154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
