Date,Average
1988-08,8.20068337129841
1988-09,8.21441647597254
1988-10,8.17113163972287
1988-11,8.14733178654292
1988-12,8.06197183098592
1989-01,8.03160377358491
1989-02,7.99216152019002
1989-03,7.94019138755981
1989-04,7.97173396674584
1989-05,7.94641148325359
1989-06,7.88357487922705
1989-07,7.8772397094431
1989-08,7.81512195121951
1989-09,7.77872860635697
1989-10,7.6920987654321
1989-11,7.75085574572127
1989-12,7.76894865525672
1990-01,7.71907090464548
1990-02,7.64716049382716
1990-03,7.54242424242424
1990-04,7.59054726368159
1990-05,7.61464019851117
1990-06,7.5525
1990-07,7.6049504950495
1990-08,7.67248157248157
1990-09,7.7833734939759
1990-10,7.85761904761905
1990-11,7.96792452830189
1990-12,8.12222222222222
1991-01,7.67514597549457
1991-02,7.81433393966428
1991-03,7.97044043116467
1991-04,7.95098728010358
1991-05,7.98738702685261
1991-06,8.07956780486868
1991-07,8.12713201430164
1991-08,8.19815096870069
1991-09,8.19640004073536
1991-10,8.24138698668195
1991-11,8.33343593074139
1991-12,8.37805635549211
1992-01,8.43832652086979
1992-02,8.52092423556865
1992-03,8.60683556203453
1992-04,8.67846849631081
1992-05,8.76170002820463
1992-06,8.95531316424222
1992-07,8.97471737511038
1992-08,9.09380310902868
1992-09,9.14840388895777
1992-10,9.06797291617431
1992-11,9.29280905514378
1992-12,9.25170534691418
1993-01,9.2124214287582
1993-02,9.17938401939319
1993-03,9.26759755509513
1993-04,9.44033941444359
1993-05,9.45763760142375
1993-06,9.51634126429835
1993-07,9.49950263500775
1993-08,9.44046920714669
1993-09,9.55789075461115
1993-10,9.60117190868879
1993-11,9.61674417483123
1993-12,9.67042634234387
1994-01,9.66199554339664
1994-02,9.5808359333611
1994-03,9.48537087331071
1994-04,9.53186120300689
1994-05,9.45496056755056
1994-06,9.34810958302036
1994-07,9.25941395576518
1994-08,9.2151534296442
1994-09,9.15174035212659
1994-10,9.22078978670686
1994-11,9.12564998958024
1994-12,9.07505188421706
1995-01,9.05395327449862
1995-02,9.03232638457866
1995-03,9.05252931053799
1995-04,9.00120582878041
1995-05,9.00290171050168
1995-06,8.99952442330471
1995-07,9.02029397630496
1995-08,9.05684245597902
1995-09,9.03096601888518
1995-10,9.03075017596518
1995-11,9.00269905930918
1995-12,9.05811349499209
1996-01,9.04883498397953
1996-02,9.05963599616107
1996-03,9.09263032898002
1996-04,9.12098794830119
1996-05,9.14451070733463
1996-06,9.20910308980649
1996-07,9.16329567475573
1996-08,9.11608148065326
1996-09,9.23617263029907
1996-10,9.25776053839984
1996-11,9.26244731480207
1996-12,9.23295573522927
1997-01,9.19687258327744
1997-02,9.19334671493384
1997-03,9.17003595706651
1997-04,9.19746017394641
1997-05,9.1848478731658
1997-06,9.15262739161945
1997-07,9.01847962117572
1997-08,8.96691478745173
1997-09,8.9445986117637
1997-10,8.98567696853587
1997-11,8.97554733878593
1997-12,8.8919778421477
1998-01,8.88432051177348
1998-02,8.83109724033873
1998-03,8.78148683945954
1998-04,8.84752511911413
1998-05,8.85628090107804
1998-06,8.85606832739353
1998-07,8.79785614240637
1998-08,8.75045123975178
1998-09,8.74826294925769
1998-10,8.72743157978816
1998-11,8.69697374017061
1998-12,8.69680056826316
1999-01,8.58745521157482
1999-02,8.57674396628405
1999-03,8.52167222194938
1999-04,8.51717335808728
1999-05,8.40239203831917
1999-06,8.32352078660207
1999-07,8.27888796604594
1999-08,8.17512972039999
1999-09,8.13857625253868
1999-10,8.00437094040866
1999-11,7.92830118559606
1999-12,7.83889281646091
2000-01,7.80707378825529
2000-02,7.76737796737407
2000-03,7.70971814504454
2000-04,7.56004309467245
2000-05,7.49436404160745
2000-06,7.42485558798853
2000-07,7.35111357660978
2000-08,7.35382640900213
2000-09,7.27883048092498
2000-10,7.17379133829851
2000-11,7.13574333181276
2000-12,7.08950006045552
2001-01,6.98468961756221
2001-02,6.98808626132759
2001-03,6.96831678287639
2001-04,6.95214493695444
2001-05,6.94568678705236
2001-06,7.01151413244362
2001-07,7.0333209504737
2001-08,7.06666633850737
2001-09,7.1061975568098
2001-10,7.16351660807158
2001-11,7.2288695844359
2001-12,7.33595259493699
2002-01,7.27026918340713
2002-02,7.26726150630369
2002-03,7.25345522642321
2002-04,7.33639649325756
2002-05,7.32430774708994
2002-06,7.32339735945531
2002-07,7.30255747991525
2002-08,7.30097704872519
2002-09,7.34338048110444
2002-10,7.34779820921124
2002-11,7.35733833924872
2002-12,7.37779785273621
2003-01,7.40553622896511
2003-02,7.42272921712572
2003-03,7.45675169732548
2003-04,7.48742122042245
2003-05,7.53184188591785
2003-06,7.56181443929272
2003-07,7.52553294477771
2003-08,7.48352954429022
2003-09,7.53315815658549
2003-10,7.46772220316018
2003-11,7.43971598426922
2003-12,7.42800267448973
2004-01,7.43496719593164
2004-02,7.45930695399529
