EventCode,NumMentions,Actor1Code,Actor1Name,Actor2Code,Actor2Name,NumArticles,DATEADDED
051,10,,,INDCOP,KARNATAKA,10,20230524044500
174,10,AUS,NORTHERN TERRITORY,,,10,20230524044500
112,10,AUS,NORTHERN TERRITORY,COP,DEPUTY,10,20230524044500
038,10,COP,POLICE,,,10,20230524044500
173,10,COP,DEPUTIES,COL,SOLEDAD,10,20230524044500
111,10,COP,POLICE,CVL,RESIDENTS,10,20230524044500
017,10,COP,DEPUTY,EDU,SCHOOL,10,20230524044500
051,5,COP,DEPUTY,EDU,SCHOOL,5,20230524044500
190,10,COP,POLICE,USA,ATLANTA,10,20230524044500
130,10,COPGOV,DEPUTY,COP,POLICE OFFICER,10,20230524044500
110,10,CRM,CRIMINAL,,,10,20230524044500
0841,10,CVL,COMMUNITY,BUS,COMPANY,10,20230524044500
110,10,CVL,COMMUNITY,BUS,COMPANY,10,20230524044500
013,10,GOV,PRESIDENT,BUS,INDUSTRY,10,20230524044500
028,10,GOV,MAYOR,CVL,COMMUNITY,10,20230524044500
014,10,GOV,MINISTRY,EDU,SCHOOL,10,20230524044500
040,10,GOV,FOREIGN MINIST,IGOEUREEC,EUROPEAN COMMISSION,5,20230524044500
112,10,GOV,GOVERNOR,NGA,LAGOS,10,20230524044500
010,10,GOVEDU,EDUCATION MINIST,EDU,SCHOOL,10,20230524044500
040,10,IGOEUREEC,EUROPEAN COMMISSION,GOV,FOREIGN MINIST,5,20230524044500
090,5,IND,ASSAM,,,5,20230524044500
020,10,IND,ASSAM,COP,POLICE,10,20230524044500
180,10,IND,MANIPUR,MED,JOURNALIST,10,20230524044500
111,10,IND,MANIPUR,MIL,REGIMENT,10,20230524044500
114,10,IND,MANIPUR,MIL,REGIMENT,10,20230524044500
020,10,INDGOV,ASSAM,COP,POLICE,10,20230524044500
141,10,INDGOV,MANIPUR,IND,MANIPUR,10,20230524044500
173,10,INDGOV,MANIPUR,IND,MANIPUR,10,20230524044500
043,5,INDGOV,MANIPUR,MIL,REGIMENT,5,20230524044500
0874,10,INDGOV,ASSAM,MIL,ARMED FORCES,10,20230524044500
020,5,LEG,REPRESENTATIVES,EDU,COLLEGE,5,20230524044500
044,10,MED,CORRESPONDENT,USA,LAS VEGAS,10,20230524044500
0874,5,MIL,COMMANDANT,IND,ASSAM,5,20230524044500
042,5,MIL,REGIMENT,INDGOV,MANIPUR,5,20230524044500
120,5,MIL,REGIMENT,INDGOV,MANIPUR,5,20230524044500
020,10,MYS,SARAWAK,,,10,20230524044500
114,10,MYS,PUTRAJAYA,,,10,20230524044500
190,10,NZLJUD,CHRISTCHURCH,,,10,20230524044500
111,10,USA,ATLANTA,BUS,BUSINESS,10,20230524044500
090,10,USA,ATLANTA,COP,POLICE,10,20230524044500
013,5,zul,ZULU,,,5,20230524044500
