,published_at,topic_class
195,2012-10-02T13:35:00+0000,"[(53, 0.99751735)]"
196,2021-06-17T13:36:06+0000,"[(198, 0.9949593)]"
197,2017-08-04T09:36:11+0000,"[(221, 0.9851036)]"
198,2018-06-07T15:06:40+0000,"[(180, 0.98825574)]"
199,2012-06-11T16:32:50+0000,"[(30, 0.04465207), (66, 0.07329761), (71, 0.12445946), (172, 0.08007375), (233, 0.18624267), (236, 0.048146714), (253, 0.06031586), (279, 0.04409331), (399, 0.0631214), (409, 0.116212055), (481, 0.12025864)]"
200,2011-01-27T22:45:01+0000,"[(221, 0.2621864), (363, 0.2140562), (370, 0.100223035), (444, 0.221106), (476, 0.13642192)]"
201,2015-05-09T18:00:00+0000,"[(83, 0.994852)]"
202,2014-08-25T21:02:12+0000,"[(37, 0.22160102), (40, 0.041301977), (355, 0.09972812), (412, 0.63293976)]"
203,2008-05-07T22:43:32+0000,"[(1, 0.05698646), (70, 0.18277597), (74, 0.12378415), (157, 0.068531364), (169, 0.073600814), (280, 0.05940469), (326, 0.075975254), (430, 0.30426937)]"
204,2018-06-12T12:37:08+0000,"[(327, 0.048307974), (397, 0.9023816), (495, 0.03747462)]"
205,2015-07-24T22:13:30+0000,"[(55, 0.99032485)]"
206,2015-08-24T01:00:15+0000,"[(52, 0.9909266)]"
207,2017-05-28T19:12:49+0000,"[(138, 0.039102238), (270, 0.95681554)]"
208,2019-05-13T13:51:01+0000,"[(239, 0.99566066)]"
209,2013-04-17T16:11:36+0000,"[(165, 0.9916831)]"
210,2012-10-02T15:00:00+0000,"[(187, 0.9973026)]"
211,2014-07-18T12:39:41+0000,"[(158, 0.11100268), (257, 0.054960914), (288, 0.29085398), (458, 0.5285929)]"
212,2012-10-03T15:24:00+0000,"[(57, 0.9956981)]"
213,2011-10-27T23:36:57+0000,"[(31, 0.11013624), (35, 0.07436304), (76, 0.06680543), (112, 0.19241436), (167, 0.19571765), (268, 0.06620088), (452, 0.028467735), (472, 0.04112546), (492, 0.08515706), (495, 0.11238653)]"
214,2008-12-02T23:03:21+0000,"[(31, 0.9844058)]"
215,2015-06-20T13:53:30+0000,"[(158, 0.061313163), (169, 0.8902615), (395, 0.031089399)]"
216,2016-03-16T23:11:42+0000,"[(40, 0.16874786), (56, 0.8113318)]"
217,2021-03-30T12:27:27+0000,"[(10, 0.99201494)]"
218,2017-12-13T21:31:38+0000,"[(158, 0.9926614)]"
219,2013-05-14T12:02:00+0000,"[(495, 0.9881185)]"
220,2011-03-31T10:00:22+0000,"[(455, 0.9933465)]"
221,2018-10-31T10:38:22+0000,"[(51, 0.01392535), (55, 0.688922), (232, 0.028811779), (249, 0.14407289), (265, 0.014579321), (320, 0.010674578), (471, 0.02354345), (479, 0.010193519), (493, 0.026717056)]"
222,2015-01-16T13:24:27+0000,"[(1, 0.08975614), (36, 0.06039158), (186, 0.15309174), (258, 0.089953825), (355, 0.16768453), (363, 0.046298075), (364, 0.095587395), (467, 0.07605445), (471, 0.17848167)]"
223,2019-08-25T19:04:53+0000,"[(281, 0.9904888)]"
224,2016-06-20T10:00:00+0000,"[(395, 0.9901168)]"
